TA_CODE;yeni_ulke;NEW_TA_CODE;sacma_ta_code
ge80006628;AB;ab00709518;it00000000
ge80081475;AB;ab00709087;it00000001
ge80031075;AB;ab00709155;it00000002
ge80031074;AB;ab00709154;it00000003
ge80035395;AB;ab00709146;it00000004
ge80031157;AB;ab00709195;it00000005
ge80033365;AB;ab00709103;it00000006
ge80033296;AB;ab00709046;it00000007
ge80035370;AB;ab00709126;it00000008
ge80033495;AB;ab00709175;it00000009
ge80044136;AB;ab00709134;it00000010
ge80035561;AB;ab00709261;it00000011
ge80035552;AB;ab00700672;it00000012
ge80033398;AB;ab00700637;it00000013
ge80031502;AB;ab00700693;it00000014
ge80031909;AB;ab00700735;it00000015
ge80124559;AB;ab00709038;it00000016
ge80125161;AB;ab00709377;it00000017
ge80073545;AB;ab00709287;it00000018
ge80033363;AB;ab00709101;it00000019
ge80035503;AB;ab00709227;it00000020
ge80044179;AB;ab00709187;it00000021
ge80035610;AB;ab00709284;it00000022
ge80033721;AB;ab00709241;it00000023
ge80033522;AB;ab00709191;it00000024
ge80033307;AB;ab00709055;ab00000000
ge80031343;AB;ab00709244;ab00000001
ge80125247;AB;ab00709421;ab00000002
ge80114193;AB;ab00709059;ab00000003
ge80034214;AB;ab00709346;ab00000004
ge80073308;AB;ab00709161;ab00000005
ge80114798;AB;ab00709192;ab00000006
ge80117757;AB;ab00709458;ab00000007
ge80117350;AB;ab00709399;ab00000008
ge80128335;AB;ab00709266;ab00000009
ge80044043;AB;ab00709043;ab00000010
ge80033482;AB;ab00709164;ab00000011
ge80094826;AB;ab00709387;ab00000012
ge80099195;AB;ab00709293;ab00000013
ge80074087;AB;ab00709442;ab00000014
ge80073835;AB;ab00709339;ab00000015
ge80074879;AB;ab00709443;ab00000016
ge80074041;AB;ab00709428;ab00000017
ge80074106;AB;ab00709454;ab00000018
ge80033297;AB;ab00709047;ab00000019
ge80033808;AB;ab00709270;ab00000020
ge80082666;AB;ab00709423;ab00000021
ge80079677;AB;ab00709063;ab00000022
ge80073556;AB;ab00709291;ab00000023
ge80090024;AB;ab00709108;ab00000024
ge80081525;AB;ab00709118;ab00000025
ge80073210;AB;ab00709107;ab00000026
ge80124663;AB;ab00709159;ab00000027
ge80102283;AB;ab00709203;ab00000028
ge80034085;AB;ab00709325;ab00000029
ge80073870;AB;ab00709348;ab00000030
ge80074308;AB;ab00709072;ab00000031
ge80074309;AB;ab00709073;ab00000032
ge80080095;AB;ab00709388;ab00000033
ge80033809;AB;ab00709272;ab00000034
ge80035326;AB;ab00709093;ab00000035
ge80032286;AB;ab00709463;ab00000036
ge80005817;AB;ab00709500;ab00000037
ge80005922;AB;ab00709507;ab00000038
ge80005924;AB;ab00709506;ab00000039
ge80005923;AB;ab00709505;ab00000040
ge80008811;AB;ab00709505;ab00000041
ge80034527;AB;ab00700022;ab00000042
ge80082436;AB;ab00709333;ab00000043
ge80033545;AB;ab00709196;ab00000044
ge80044312;AB;ab00709246;ab00000045
ge80035914;AB;ab00709392;ab00000046
ge80033893;AB;ab00700694;ab00000047
ge80033731;AB;ab00700674;ab00000048
ge80035310;AB;ab00709066;ab00000049
ge80034473;AB;ab00709444;ab00000050
ge80044547;AB;ab00709324;ab00000051
ge80031156;AB;ab00709193;ab00000052
ge80034297;AB;ab00709368;ab00000053
ge80044174;AB;ab00709177;ab00000054
ge80031106;AB;ab00709189;ab00000055
ge80033723;AB;ab00709245;ab00000056
ge80035892;AB;ab00709372;ab00000057
ge80034465;AB;ab00709441;ab00000058
ge80033546;AB;ab00700653;ab00000059
ge80035947;AB;ab00709412;ab00000060
ge80033370;AB;ab00709111;ab00000061
ge80034259;AB;ab00709357;ab00000062
ge80033346;AB;ab00709090;ab00000063
ge80033439;AB;ab00700641;ab00000064
ge80033737;AB;ab00709255;ab00000065
ge80035323;AB;ab00709085;ab00000066
ge80034018;AB;ab00709312;ab00000067
ge80033437;AB;ab00700641;ab00000068
ge80034484;AB;ab00709451;ab00000069
ge80030977;AB;ab00709122;ab00000070
ge80034390;AB;ab00709413;ab00000071
ge80031355;AB;ab00700673;ab00000072
ge80032077;AB;ab00700768;ab00000073
ge80030896;AB;ab00700614;ab00000074
ge80031057;AB;ab00709142;ab00000075
ge80030869;AB;ab00709039;ab00000076
ge80033883;AB;ab00709308;ab00000077
ge80114426;AB;ab00709120;ab00000078
ge80033730;AB;ab00709250;ab00000079
ge80033486;AB;ab00709167;ab00000080
ge80035864;AB;ab00700733;ab00000081
ge80031359;AB;ab00709256;ab00000082
ge80034317;AB;ab00709381;ab00000083
ge80031096;AB;ab00709174;ab00000084
ge80033494;AB;ab00709173;ab00000085
ge80034387;AB;ab00700769;ab00000086
ge80034292;AB;ab00709362;ab00000087
ge80124627;AB;ab00709113;ab00000088
ge80035982;AB;ab00709434;ab00000089
ge80035780;AB;ab00709327;ab00000090
ge80031362;AB;ab00709258;ab00000091
ge80034487;AB;ab00709456;ab00000092
ge80044180;AB;ab00709188;ab00000093
ge80035315;AB;ab00709068;ab00000094
ge80033379;AB;ab00709115;ab00000095
ge80034203;AB;ab00709342;ab00000096
ge80124601;AB;ab00709081;ab00000097
ge80102035;AB;ab00709383;ab00000098
ge80089985;AB;ab00709062;ab00000099
ge80044572;AB;ab00709335;ab00000100
ge80044105;AB;ab00709121;ab00000101
ge80033299;AB;ab00709052;ab00000102
ge80073887;AB;ab00709359;ab00000103
ge80128391;AB;ab00709304;ab00000104
ge80093834;AB;ab00709215;ab00000105
ge80073925;AB;ab00709375;ab00000106
ge80125290;AB;ab00709447;ab00000107
ge80087246;AB;ab00709223;ab00000108
ge80099667;AB;ab00709326;ab00000109
ge80073789;AB;ab00709328;ab00000110
ge80073440;AB;ab00709238;ab00000111
ge80090148;AB;ab00709231;ab00000112
ge80090453;AB;ab00709221;ab00000113
ge80074793;AB;ab00709373;ab00000114
ge80096648;AB;ab00709089;ab00000115
ge80079724;AB;ab00709141;ab00000116
ge80073474;AB;ab00709252;ab00000117
ge80090134;AB;ab00709226;ab00000118
ge80031059;AB;ab00709143;ab00000119
ge80102728;AB;ab00709431;ab00000120
ge80093431;AB;ab00709045;ab00000121
ge80093452;AB;ab00709056;ab00000122
ge80073301;AB;ab00709156;ab00000123
ge80031701;AB;ab00709317;ab00000124
ge80087202;AB;ab00709197;ab00000125
ge80033831;AB;ab00709288;ab00000126
ge80030862;AB;ab00709034;ab00000127
ge80033344;AB;ab00709086;ab00000128
ge80101966;AB;ab00709300;ab00000129
ge80090419;AB;ab00709367;ab00000130
ge80079664;AB;ab00709035;ab00000131
ge80124912;AB;ab00709297;ab00000132
ge80035989;AB;ab00709437;ab00000133
ge80031700;AB;ab00709314;ab00000134
ge80034142;AB;ab00709340;ab00000135
ge80034374;AB;ab00709407;ab00000136
ge80044147;AB;ab00709137;ab00000137
ge80117119;AB;ab00709345;ab00000138
ge80081852;AB;ab00709251;ab00000139
ge80075554;AB;ab00709322;ab00000140
ge80098990;AB;ab00709269;ab00000141
ge80101861;AB;ab00709088;ab00000142
ge80073758;AB;ab00709316;ab00000143
ge80116551;AB;ab00709311;ab00000144
ge80033549;AB;ab00709198;ab00000145
ge80035901;AB;ab00709380;ab00000146
ge80033438;AB;ab00709136;ab00000147
ge80114292;AB;ab00709084;ab00000148
ge80073891;AB;ab00709361;ab00000149
ge80073481;AB;ab00709257;ab00000150
ge80075589;AB;ab00709418;ab00000151
ge80100106;AB;ab00709366;ab00000152
ge80044057;AB;ab00709067;ab00000153
ge80094633;AB;ab00709331;ab00000154
ge80101902;AB;ab00709206;ab00000155
ge80033728;AB;ab00709248;ab00000156
ge80117139;AB;ab00709353;ab00000157
ge80116226;AB;ab00709299;ab00000158
ge80102465;AB;ab00709303;ab00000159
ge80031060;AB;ab00709144;ab00000160
ge80116324;AB;ab00709305;ab00000161
ge80124906;AB;ab00709296;ab00000162
ge80102079;AB;ab00709432;ab00000163
ge80102050;AB;ab00709404;ab00000164
ge80073397;AB;ab00709224;ab00000165
ge80125234;AB;ab00709414;ab00000166
ge80044629;AB;ab00709371;ab00000167
ge80117023;AB;ab00709344;ab00000168
ge80031044;AB;ab00709138;ab00000169
ge80032042;AB;ab00709397;us00000000
ge80033801;AB;ab00709268;us00000001
ge80033380;AB;ab00709116;us00000002
ge80035593;AB;ab00709271;us00000003
ge80034132;AB;ab00709336;us00000004
ge80034133;AB;ab00709337;us00000005
ge80033337;AB;ab00709076;us00000006
ge80034066;AB;ab00709319;us00000007
ge80035858;AB;ab00700731;us00000008
ge80031678;AB;ab00709313;us00000009
ge80033496;AB;ab00709178;us00000010
ge80044211;AB;ab00709205;us00000011
ge80033293;AB;ab00700603;us00000012
ge80032192;AB;ab00709446;us00000013
ge80032053;AB;ab00709405;us00000014
ge80032055;AB;ab00709408;us00000015
ge80075552;AB;ab00709320;us00000016
ge80035334;AB;ab00709106;us00000017
ge80035453;AB;ab00709202;us00000018
ge80035300;AB;ab00709050;us00000019
ge80035431;AB;ab00709190;us00000020
ge80032001;AB;ab00709386;us00000021
ge80129559;CN;cn80709426;us00000022
ge80117485;CO;co00077731;us00000023
ge80114276;CO;co82777316;us00000024
ge80089914;CO;co00011469;us00000025
ge80090137;CO;co00011469;us00000026
ge80090136;CO;co00011469;us00000027
ge80108655;CO;co00158142;us00000028
ge80115847;CO;co82748237;us00000029
ge80075715;CO;co82777315;us00000030
ge80003035;CY;cy90013699;us00000031
ge80003179;CY;cy90013700;us00000032
ge80132806;CY;cy80152691;us00000033
ge80133103;CY;cy80437391;us00000034
ge80003239;CY;cy80041501;us00000035
ge80002379;CY;cy80025901;us00000036
ge80001413;CY;cy90013696;us00000037
ge80001414;CY;cy90013696;us00000038
ge80007560;CY;cy90013696;us00000039
ge80001388;CY;cy90013694;us00000040
ge12207641;CY;cy90013698;us00000041
ge80009194;CY;cy90013693;us00000042
ge80007206;CY;cy90013691;us00000043
ge80001412;CY;cy90013695;us00000044
ge80000613;CY;cy90013692;us00000045
ge80108318;DE;de80560311;us00000046
ge80007637;CY;cy90013697;us00000047
ge12207532;CY;cy80021624;us00000048
ge80001649;CY;cy80021625;us00000049
ge80131771;CY;cy80337627;us00000050
ge80133921;CY;cy90007955;us00000051
ge80133922;CY;cy90013702;us00000052
ge80133923;CY;cy90013703;us00000053
ge80003844;CY;cy90013701;us00000054
ge80081395;CZ;cz80288382;us00000055
ge80081712;CZ;cz90036218;us00000056
ge80077270;CZ;cz90036219;us00000057
ge80077271;CZ;cz90036221;us00000058
ge80077269;CZ;cz90036220;us00000059
